family,concept,index,clause,marked_decisive,drafter_note,R1_true,R1_names,R1_decisive,R1_comment,R2_true,R2_names,R2_decisive,R2_comment,resolution
countries,countries/Kenya,0,straddles the equator on the eastern coast of Africa,yes,,,,,,,,,,
countries,countries/Kenya,1,has vast savannas that attract visitors on wildlife safaris,,,,,,,,,,,
countries,countries/Kenya,2,is renowned for long-distance runners trained in its highlands,yes,,,,,,,,,,
countries,countries/Kenya,3,"is a major exporter of tea, coffee and horticultural produce",,,,,,,,,,,
countries,countries/Kenya,4,is split by a deep rift valley dotted with soda lakes,,,,,,,,,,,
countries,countries/Kenya,5,won independence from a European colonial power in 1963,,,,,,,,,,,
countries,countries/Kenya,6,"has a cool, fertile highland where much of its farming happens",,,,,,,,,,,
countries,countries/Kenya,7,has a tropical coast with old coral-stone trading towns,,,,,,,,,,,
countries,countries/Kenya,8,has a fast-growing tech sector in its busy capital,,,,,,,,,,,
countries,countries/Kenya,9,shares Africa's largest lake with two neighbouring states,,,,,,,,,,,
countries,countries/Kenya,10,has many pastoralist communities herding cattle in its dry north,,,,,,,,,,,
countries,countries/Kenya,11,has fossil sites that shed light on early human origins,,,,,,,,,,,
countries,countries/Nepal,0,is a landlocked state wedged between two much larger neighbours,,,,,,,,,,,
countries,countries/Nepal,1,has several of the world's highest peaks within its borders,yes,,,,,,,,,,
countries,countries/Nepal,2,rises steeply from hot southern lowlands to icy alpine heights,,,,,,,,,,,
countries,countries/Nepal,3,relies heavily on money sent home by workers abroad,,,,,,,,,,,
countries,countries/Nepal,4,was a kingdom for centuries before becoming a republic,,,,,,,,,,,
countries,countries/Nepal,5,has dozens of languages spoken across many ethnic groups,,,,,,,,,,,
countries,countries/Nepal,6,has a mostly Hindu population with strong Buddhist traditions,,,,,,,,,,,
countries,countries/Nepal,7,lies in an earthquake-prone zone where tectonic plates collide,,,,,,,,,,,
countries,countries/Nepal,8,"has a cuisine of lentils, rice and spiced vegetable curries",,,,,,,,,,,
countries,countries/Nepal,9,is famous for hardy soldiers who serve in foreign armies,yes,,,,,,,,,,
countries,countries/Nepal,10,has fast glacier-fed rivers with great hydropower potential,,,,,,,,,,,
countries,countries/Nepal,11,was never colonised by a European power,,,,,,,,,,,
countries,countries/Nigeria,0,is the most populous state on its continent,,,,,,,,,,,
countries,countries/Nigeria,1,has one of the world's most prolific film industries,,,,,,,,,,,
countries,countries/Nigeria,2,depends heavily on oil exports for government revenue,,,,,,,,,,,
countries,countries/Nigeria,3,"has a dry savanna north and a humid, forested south",,,,,,,,,,,
countries,countries/Nigeria,4,"became independent in 1960, alongside many other African colonies",,,,,,,,,,,
countries,countries/Nigeria,5,is a federal republic with a powerful elected president,,,,,,,,,,,
countries,countries/Nigeria,6,has a mainly Muslim north and a largely Christian south,,,,,,,,,,,
countries,countries/Nigeria,7,fought a bloody civil war over secession after independence,,,,,,,,,,,
countries,countries/Nigeria,8,"has a cuisine of spicy stews, rice and starchy yams",,,,,,,,,,,
countries,countries/Nigeria,9,has hundreds of ethnic groups and many local languages,,,,,,,,,,,
countries,countries/Nigeria,10,has a humid southern coast on a large West African gulf,,,,,,,,,,,
countries,countries/Nigeria,11,has one of the largest economies on its continent,,,,,,,,,,,
countries,countries/Norway,0,has a rugged western coast cut by deep glacial inlets,,,,,,,,,,,
countries,countries/Norway,1,grew wealthy from offshore oil and gas in cold northern waters,,,,,,,,,,,
countries,countries/Norway,2,has very high wages and a high cost of living,,,,,,,,,,,
countries,countries/Norway,3,trades within Europe's single market but stays outside the European Union,,,,,,,,,,,
countries,countries/Norway,4,has territory extending far north of the Arctic Circle,,,,,,,,,,,
countries,countries/Norway,5,controls a remote Arctic archipelago known for polar bears,yes,,,,,,,,,,
countries,countries/Norway,6,sees the midnight sun in summer across its northern regions,,,,,,,,,,,
countries,countries/Norway,7,raises large quantities of farmed salmon in coastal pens,,,,,,,,,,,
countries,countries/Norway,8,has one of the highest shares of electric cars on its roads,yes,,,,,,,,,,
countries,countries/Norway,9,is famous for success in Nordic skiing and winter sports,,,,,,,,,,,
countries,countries/Norway,10,has indigenous reindeer herders in its far north,,,,,,,,,,,
countries,countries/Norway,11,was ruled for centuries by neighbouring kingdoms before full independence,,"""was ruled for centuries by neighbouring kingdoms before full independence"" - centuries in union under a southern neighbour's crown, then 1814-1905 in a union with its own parliament; 'ruled' is a simplification for the last period",,,,,,,,,
countries,countries/Poland,0,"lies mostly on a broad, low plain with a northern coastline",,,,,,,,,,,
countries,countries/Poland,1,was repeatedly carved up by powerful neighbouring empires,yes,,,,,,,,,,
countries,countries/Poland,2,had its capital largely destroyed in the Second World War and rebuilt,yes,,,,,,,,,,
countries,countries/Poland,3,had a communist government until the late 1980s,,,,,,,,,,,
countries,countries/Poland,4,"is known for filled dumplings, beet broth and smoked sausage",,,,,,,,,,,
countries,countries/Poland,5,has high craggy peaks along its southern mountain border,,,,,,,,,,,
countries,countries/Poland,6,has a northeastern lake district with thousands of lakes,,"""has a northeastern lake district with thousands of lakes"" - the usual figure is about two thousand lakes",,,,,,,,,
countries,countries/Poland,7,"has large, ancient lowland forests with rare wildlife",,,,,,,,,,,
countries,countries/Poland,8,has a large coal mining industry in its southern regions,,,,,,,,,,,
countries,countries/Poland,9,has a strongly Roman Catholic population and religious traditions,,,,,,,,,,,
countries,countries/Poland,10,joined the European Union in 2004 along with several neighbours,,,,,,,,,,,
countries,countries/Poland,11,has a large farming sector with many small family farms,,,,,,,,,,,
countries,countries/Spain,0,occupies most of a large peninsula in southwestern Europe,yes,,,,,,,,,,
countries,countries/Spain,1,was under Muslim rule for several medieval centuries,,,,,,,,,,,
countries,countries/Spain,2,sponsored voyages that built a vast empire across the Americas,,,,,,,,,,,
countries,countries/Spain,3,has a passion for football and top clubs famous worldwide,,,,,,,,,,,
countries,countries/Spain,4,"has a cuisine of seafood, rice dishes and cured ham",,,,,,,,,,,
countries,countries/Spain,5,"has a high, dry central plateau surrounding its capital",,,,,,,,,,,
countries,countries/Spain,6,endured a long dictatorship that ended in the 1970s,,,,,,,,,,,
countries,countries/Spain,7,has several regions with their own languages and strong identities,,,,,,,,,,,
countries,countries/Spain,8,is among the most visited tourist destinations in the world,,,,,,,,,,,
countries,countries/Spain,9,is the world's largest producer of olive oil,yes,,,,,,,,,,
countries,countries/Spain,10,has large wine regions and exports wine worldwide,,,,,,,,,,,
countries,countries/Spain,11,"has a hot, dry south and a green, rainy north",,,,,,,,,,,
tools,tools/axe,0,has a heavy metal head with a sharp wedge-shaped edge,yes,,,,,,,,,,
tools,tools/axe,1,splits firewood logs along the grain with a downward blow,yes,,,,,,,,,,
tools,tools/axe,2,is swung with both hands in a long overhead arc,,,,,,,,,,,
tools,tools/axe,3,has a long handle traditionally made of hickory or ash,,,,,,,,,,,
tools,tools/axe,4,is used to clear branches and brush from overgrown trails,,,,,,,,,,,
tools,tools/axe,5,throws off chips of timber with every blow,,,,,,,,,,,
tools,tools/axe,6,is safely carried with a guard covering its edge,,,,,,,,,,,
tools,tools/axe,7,is kept keen with a file and a sharpening stone,,,,,,,,,,,
tools,tools/axe,8,is used to break through doors in an emergency,,,,,,,,,,,
tools,tools/axe,9,has been used as a weapon in battle for thousands of years,,,,,,,,,,,
tools,tools/axe,10,often has its head secured onto the handle with a wedge,,,,,,,,,,,
tools,tools/axe,11,is used at campsites to cut kindling for a fire,,,,,,,,,,,
tools,tools/bolt,0,has a hexagonal head that is turned with a wrench,yes,,,,,,,,,,
tools,tools/bolt,1,is secured by threading a nut onto its far end,yes,,,,,,,,,,
tools,tools/bolt,2,passes through drilled holes to join two pieces together,,,,,,,,,,,
tools,tools/bolt,3,often has a flat washer placed under its head,,,,,,,,,,,
tools,tools/bolt,4,comes in strength grades for heavy structural joints,,,,,,,,,,,
tools,tools/bolt,5,has a smooth unthreaded shank below the head on longer sizes,,"""has a smooth unthreaded shank below the head on longer sizes"": true of partially threaded hex bolts, but fully threaded long bolts (tap bolts) also exist",,,,,,,,,
tools,tools/bolt,6,"is specified by diameter, length and thread pitch",,,,,,,,,,,
tools,tools/bolt,7,"holds girders, engine blocks and machine frames together",,,,,,,,,,,
tools,tools/bolt,8,can have a smooth domed head with nothing to turn it by,,,,,,,,,,,
tools,tools/bolt,9,is often made of hardened metal with a zinc coating,,"""is often made of hardened metal with a zinc coating"": common for general-purpose grade bolts; many are plain, black-oxide or stainless instead",,,,,,,,,
tools,tools/bolt,10,can work loose under vibration unless it is locked in place,,,,,,,,,,,
tools,tools/bolt,11,is tightened to a set torque with a torque wrench,,,,,,,,,,,
tools,tools/clamp,0,holds glued pieces together tightly while the glue dries,yes,,,,,,,,,,
tools,tools/clamp,1,presses two jaws toward each other to grip work,,,,,,,,,,,
tools,tools/clamp,2,is tightened by hand with a threaded handle or knob,,,,,,,,,,,
tools,tools/clamp,3,can be shaped like a letter C with a threaded spindle,yes,,,,,,,,,,
tools,tools/clamp,4,is often used several at a time along one long joint,,,,,,,,,,,
tools,tools/clamp,5,can be carried around and fixed onto most table edges,,,,,,,,,,,
tools,tools/clamp,6,has swivelling pads on its jaws to spread the pressure,,,,,,,,,,,
tools,tools/clamp,7,holds a workpiece flat on a tabletop during drilling or cutting,,,,,,,,,,,
tools,tools/clamp,8,is sized by its maximum opening and the depth of its reach,,,,,,,,,,,
tools,tools/clamp,9,can release instantly with a lever on quick-action models,,,,,,,,,,,
tools,tools/clamp,10,hangs in rows on racks along carpentry shop walls,,,,,,,,,,,
tools,tools/clamp,11,is sold in sizes from palm-sized to over a metre long,,,,,,,,,,,
tools,tools/hammer,0,drives nails into timber with a series of sharp blows,yes,,,,,,,,,,
tools,tools/hammer,1,has a heavy metal head fixed across the end of a handle,,,,,,,,,,,
tools,tools/hammer,2,has a head with two different ends for different jobs,,,,,,,,,,,
tools,tools/hammer,3,is swung in an arc so its face strikes squarely,,,,,,,,,,,
tools,tools/hammer,4,can leave a round dent in a surface when it misses,,,,,,,,,,,
tools,tools/hammer,5,makes a loud bang with every blow it lands,,,,,,,,,,,
tools,tools/hammer,6,is carried on a carpenter's belt along with a tape measure,,,,,,,,,,,
tools,tools/hammer,7,"is used by blacksmiths, roofers and cobblers",,,,,,,,,,,
tools,tools/hammer,8,can injure the user's other hand if swung carelessly,,,,,,,,,,,
tools,tools/hammer,9,"has a handle of hickory, fibreglass or solid metal",,,,,,,,,,,
tools,tools/hammer,10,is sold by the weight of its head in ounces or grams,,,,,,,,,,,
tools,tools/hammer,11,is used together with chisels and punches in a workshop,,,,,,,,,,,
tools,tools/hoe,0,has a flat blade set at a right angle to its handle,yes,,,,,,,,,,
tools,tools/hoe,1,chops weeds off at the root just under the soil surface,yes,,,,,,,,,,
tools,tools/hoe,2,is pulled back toward the user in short scraping strokes,,,,,,,,,,,
tools,tools/hoe,3,loosens soil between rows of vegetables in a garden,,,,,,,,,,,
tools,tools/hoe,4,is used to heap earth around the base of growing plants,,,,,,,,,,,
tools,tools/hoe,5,"is worked standing, with both hands on a long handle",,,,,,,,,,,
tools,tools/hoe,6,has been used to till fields since ancient times,,,,,,,,,,,
tools,tools/hoe,7,is kept in a garden shed alongside spades and forks,,,,,,,,,,,
tools,tools/hoe,8,has its blade edge sharpened with a flat file,,,,,,,,,,,
tools,tools/hoe,9,can open a shallow trench for planting seeds,,,,,,,,,,,
tools,tools/hoe,10,is used by small farmers who work their fields by hand,,,,,,,,,,,
tools,tools/hoe,11,breaks up hard crusted earth after heavy rain,,,,,,,,,,,
tools,tools/knife,0,has a thin metal blade with one sharpened edge,,,,,,,,,,,
tools,tools/knife,1,"slices bread, meat and vegetables on a cutting board",yes,,,,,,,,,,
tools,tools/knife,2,is set on the dinner table beside the plate,,,,,,,,,,,
tools,tools/knife,3,comes in folding versions that fit in a pocket,,,,,,,,,,,
tools,tools/knife,4,needs regular sharpening on a whetstone or grinder,,,,,,,,,,,
tools,tools/knife,5,is washed by hand rather than in a dishwasher to stay sharp,,"""is washed by hand rather than in a dishwasher to stay sharp"": standard advice for good kitchen knives; many households put everyday knives in the dishwasher",,,,,,,,,
tools,tools/knife,6,has a finely serrated edge on some of its types,,,,,,,,,,,
tools,tools/knife,7,has a pointed tip for piercing and making small cuts,,,,,,,,,,,
tools,tools/knife,8,is carried by hunters and campers on a belt,,,,,,,,,,,
tools,tools/knife,9,has a handle fixed to its blade with rivets on many types,,,,,,,,,,,
tools,tools/knife,10,spreads jam or margarine onto toast at breakfast,yes,,,,,,,,,,
tools,tools/knife,11,is drawn away from the body when cutting to avoid injury,,,,,,,,,,,
tools,tools/mop,0,has an absorbent head on the end of a long handle,yes,,,,,,,,,,
tools,tools/mop,1,is dipped into a bucket of soapy water before use,,,,,,,,,,,
tools,tools/mop,2,is wrung out to get rid of dirty water,,,,,,,,,,,
tools,tools/mop,3,is swept across hard floors in wide side-to-side strokes,,,,,,,,,,,
tools,tools/mop,4,is used by school janitors to clean corridors and restrooms,,,,,,,,,,,
tools,tools/mop,5,leaves floors wet enough to need a warning sign nearby,yes,,,,,,,,,,
tools,tools/mop,6,has a detachable head that can go in a washing machine,,,,,,,,,,,
tools,tools/mop,7,is used by sailors to wash down a ship's deck,,,,,,,,,,,
tools,tools/mop,8,can have a flat head covered in microfibre cloth,,,,,,,,,,,
tools,tools/mop,9,is stored upright in a utility closet to dry,,,,,,,,,,,
tools,tools/mop,10,smells musty if it is left damp for too long,,,,,,,,,,,
tools,tools/mop,11,soaks up spilled drinks from a kitchen or bar floor,,,,,,,,,,,
tools,tools/needle,0,has a tiny eye at one end for passing thread through,yes,,,,,,,,,,
tools,tools/needle,1,tapers along its length to a very sharp point,,,,,,,,,,,
tools,tools/needle,2,is used to repair torn clothing at home,,,,,,,,,,,
tools,tools/needle,3,is found in a sewing kit alongside a spool of thread,,,,,,,,,,,
tools,tools/needle,4,needs firm pressure to pass through thick layers,,,,,,,,,,,
tools,tools/needle,5,is so slender that it is easily lost when dropped,,,,,,,,,,,
tools,tools/needle,6,"comes in small packets sorted by size, from fine to heavy",,,,,,,,,,,
tools,tools/needle,7,can prick the skin and draw a small bead of blood,,,,,,,,,,,
tools,tools/needle,8,is used by tailors and dressmakers every working day,,,,,,,,,,,
tools,tools/needle,9,is made of thin polished metal a few centimetres long,,,,,,,,,,,
tools,tools/needle,10,is used in crafts such as quilting and beading,,,,,,,,,,,
tools,tools/needle,11,can be magnetized by stroking it with a magnet,,,,,,,,,,,
tools,tools/rake,0,has a row of tines fixed across the end of a handle,yes,,,,,,,,,,
tools,tools/rake,1,is used to clear up leaves on lawns in autumn,yes,,,,,,,,,,
tools,tools/rake,2,is pulled toward the user across the ground in long strokes,,,,,,,,,,,
tools,tools/rake,3,levels loose soil and gravel before planting or paving,,,,,,,,,,,
tools,tools/rake,4,"comes with a head of metal, bamboo or moulded polymer",,,,,,,,,,,
tools,tools/rake,5,pulls dead thatch and moss out of grass,,,,,,,,,,,
tools,tools/rake,6,leaves thin parallel grooves in the ground behind it,,,,,,,,,,,
tools,tools/rake,7,smooths out footprints left in a sand pit,,,,,,,,,,,
tools,tools/rake,8,is used on farms to move loose hay and straw,,,,,,,,,,,
tools,tools/rake,9,has a long handle about as tall as an adult,,,,,,,,,,,
tools,tools/rake,10,helps clear seaweed and litter off beaches,,,,,,,,,,,
tools,tools/rake,11,is sold with wide or narrow heads for different jobs,,,,,,,,,,,
tools,tools/saw,0,has a row of sharp teeth along a thin metal blade,yes,,,,,,,,,,
tools,tools/saw,1,cuts with a steady back-and-forth motion of the arm,,,,,,,,,,,
tools,tools/saw,2,leaves a small pile of fine dust on the floor,,,,,,,,,,,
tools,tools/saw,3,is often hung on a pegboard in a woodworking shop,,,,,,,,,,,
tools,tools/saw,4,can be driven by an electric motor for faster work,,,,,,,,,,,
tools,tools/saw,5,is used by carpenters to shape and trim boards,,,,,,,,,,,
tools,tools/saw,6,makes a rhythmic rasping sound as it works,,,,,,,,,,,
tools,tools/saw,7,can get stuck in timber partway through a cut,,,,,,,,,,,
tools,tools/saw,8,has a closed handle at one end of a long tapering blade,yes,,,,,,,,,,
tools,tools/saw,9,can cut through metal pipe as well as timber,,,,,,,,,,,
tools,tools/saw,10,is sharpened with a small file rather than a flat stone,,,,,,,,,,,
tools,tools/saw,11,cuts on the pull stroke in some designs and the push in others,,,,,,,,,,,
tools,tools/scissors,0,has two blades joined by a pivot near the middle,yes,,,,,,,,,,
tools,tools/scissors,1,has two handles that one hand squeezes and opens,,,,,,,,,,,
tools,tools/scissors,2,cuts cleanly through thin sheets with each closing stroke,,,,,,,,,,,
tools,tools/scissors,3,is found in school pencil cases for craft lessons,,,,,,,,,,,
tools,tools/scissors,4,is kept at a barber's station along with combs and clippers,,,,,,,,,,,
tools,tools/scissors,5,is kept out of reach of small children because of its points,,,,,,,,,,,
tools,tools/scissors,6,is made in special versions for left-handed people,yes,,,,,,,,,,
tools,tools/scissors,7,is used in kitchens to cut herbs and open packaging,,,,,,,,,,,
tools,tools/scissors,8,"is used to cut cloth, twine and gift wrapping",,,,,,,,,,,
tools,tools/scissors,9,"is found in first aid kits, desk drawers and sewing baskets",,,,,,,,,,,
tools,tools/scissors,10,makes a crisp metallic sound each time it closes,,,,,,,,,,,
tools,tools/scissors,11,loses its edge quickly if used to cut wire,,,,,,,,,,,
tools,tools/screw,0,has a spiral thread wound around a pointed shaft,yes,,,,,,,,,,
tools,tools/screw,1,has a flat or rounded head at one end of its shaft,,,,,,,,,,,
tools,tools/screw,2,is turned clockwise to tighten it and the other way to loosen,,,,,,,,,,,
tools,tools/screw,3,comes loose over time if its hole becomes worn,,,,,,,,,,,
tools,tools/screw,4,can be driven by hand or with a cordless drill,yes,,,,,,,,,,
tools,tools/screw,5,can split thin timber if driven in too close to the edge,,,,,,,,,,,
tools,tools/screw,6,can be set below the surface and hidden with filler,,,,,,,,,,,
tools,tools/screw,7,needs an anchor to hold firmly in masonry,,,,,,,,,,,
tools,tools/screw,8,is often sold by gauge and length in boxes of a hundred,,"""is often sold by gauge and length in boxes of a hundred"": gauge sizing is the imperial wood-screw convention; metric screws are sold by diameter",,,,,,,,,
tools,tools/screw,9,becomes hard to remove once its head is damaged,,,,,,,,,,,
tools,tools/screw,10,fastens hinges and handles to doors and cabinets,,,,,,,,,,,
tools,tools/screw,11,is tiny in eyeglass frames and wristwatches,,,,,,,,,,,
tools,tools/shovel,0,has a broad curved blade on the end of a long handle,yes,,,,,,,,,,
tools,tools/shovel,1,is pushed into the ground with a foot on its blade,,,,,,,,,,,
tools,tools/shovel,2,"moves loose piles of gravel, sand or mulch",,,,,,,,,,,
tools,tools/shovel,3,has a D-shaped grip at the top of its handle on some models,,,,,,,,,,,
tools,tools/shovel,4,clears snow from driveways and paths in winter,,,,,,,,,,,
tools,tools/shovel,5,is carried by soldiers in a compact folding form,,,,,,,,,,,
tools,tools/shovel,6,is used by gravediggers and construction labourers,,,,,,,,,,,
tools,tools/shovel,7,tosses dirt to one side in a lifting swing,yes,,,,,,,,,,
tools,tools/shovel,8,often has a pointed blade for breaking into hard ground,,,,,,,,,,,
tools,tools/shovel,9,scoops ash out of a fireplace or stove,,,,,,,,,,,
tools,tools/shovel,10,is used alongside a wheelbarrow to move earth,,,,,,,,,,,
tools,tools/shovel,11,has a flat or dished blade for scraping and scooping,,,,,,,,,,,
tools,tools/sponge,0,is soft and porous and soaks up water when dipped,yes,,,,,,,,,,
tools,tools/sponge,1,is squeezed in the hand to wring out dirty water,,,,,,,,,,,
tools,tools/sponge,2,has a rougher side for scrubbing stuck-on grime,yes,,,,,,,,,,
tools,tools/sponge,3,sits in a small holder beside the kitchen sink,,,,,,,,,,,
tools,tools/sponge,4,wipes crumbs and spills off countertops and tables,,,,,,,,,,,
tools,tools/sponge,5,is made from synthetic foam or processed plant fibre,,,,,,,,,,,
tools,tools/sponge,6,can breed bacteria when it stays damp for days,,,,,,,,,,,
tools,tools/sponge,7,is cut into rectangular blocks that fit in a hand,,,,,,,,,,,
tools,tools/sponge,8,is used with soapy water to wash a car body,,,,,,,,,,,
tools,tools/sponge,9,stiffens when dry and softens again once wet,,"""stiffens when dry and softens again once wet"": true of cellulose sponges; polyurethane foam sponges stay fairly soft when dry",,,,,,,,,
tools,tools/sponge,10,is thrown away and replaced every few weeks for hygiene,,"""is thrown away and replaced every few weeks for hygiene"": common hygiene advice (weekly to monthly), not what every household does",,,,,,,,,
tools,tools/sponge,11,is rubbed on dishes with washing-up liquid to scrub them,,,,,,,,,,,
tools,tools/vise,0,is mounted on a workbench in many home garages,,,,,,,,,,,
tools,tools/vise,1,has two heavy parallel jaws that grip a workpiece,yes,,,,,,,,,,
tools,tools/vise,2,is tightened by turning a handle on a threaded shaft,,,,,,,,,,,
tools,tools/vise,3,is used to bend flat bar by gripping one end,,,,,,,,,,,
tools,tools/vise,4,often has a swivel base so it can be turned to any angle,,,,,,,,,,,
tools,tools/vise,5,can weigh over twenty kilograms on large models,,"""can weigh over twenty kilograms on large models"": large engineer's bench vises (150 mm jaws and up) are in this range; small hobby vises weigh a few kilograms",,,,,,,,,
tools,tools/vise,6,is made of heavy cast iron or forged metal,,,,,,,,,,,
tools,tools/vise,7,has ridged gripping faces that can mark soft work,,,,,,,,,,,
tools,tools/vise,8,holds a part steady so both hands are free to work on it,,,,,,,,,,,
tools,tools/vise,9,can grip round pipe as well as flat stock,,,,,,,,,,,
tools,tools/vise,10,is found in metalworking and woodworking shops alike,,,,,,,,,,,
tools,tools/vise,11,comes in small precision versions for jewellers and model makers,,,,,,,,,,,
tools,tools/whisk,0,has loops of thin wire gathered into a handle,yes,,,,,,,,,,
tools,tools/whisk,1,adds air to a mixture to make it light and fluffy,yes,,,,,,,,,,
tools,tools/whisk,2,is moved quickly in circles with a flick of the wrist,,,,,,,,,,,
tools,tools/whisk,3,makes a rapid clattering sound against the side of a bowl,,,,,,,,,,,
tools,tools/whisk,4,is used to stir sauces and gravy on the stove,,,,,,,,,,,
tools,tools/whisk,5,is wider at its working end than at its handle,,,,,,,,,,,
tools,tools/whisk,6,hangs from a hook in the kitchen with other utensils,,,,,,,,,,,
tools,tools/whisk,7,is used by bakers to mix cake and pancake batters,,,,,,,,,,,
tools,tools/whisk,8,is often swapped for an electric mixer on big batches,,,,,,,,,,,
tools,tools/whisk,9,comes in a flat version suited to shallow pans,,,,,,,,,,,
tools,tools/whisk,10,is made of metal or heat-resistant silicone,,,,,,,,,,,
tools,tools/whisk,11,needs careful rinsing because thick mixture clings to it,,,,,,,,,,,
foods,foods/apple,0,grows on trees in orchards and is picked in autumn,,,,,,,,,,,
foods,foods/apple,1,"has crisp white flesh under a thin red, green or yellow skin",yes,,,,,,,,,,
foods,foods/apple,2,has a few small seeds that are usually discarded before cooking,,,,,,,,,,,
foods,foods/apple,3,has a short stem sitting in a small dip at the top,,,,,,,,,,,
foods,foods/apple,4,turns brown quickly once its cut flesh meets the air,,,,,,,,,,,
foods,foods/apple,5,is often pressed into a sweet juice sold in cartons,,,,,,,,,,,
foods,foods/apple,6,"is baked into sweet pies, tarts and crumbles",,,,,,,,,,,
foods,foods/apple,7,"keeps for months in cool, controlled storage after harvest",,,,,,,,,,,
foods,foods/apple,8,comes in many varieties ranging from sweet to sharp,,,,,,,,,,,
foods,foods/apple,9,"is eaten raw as a crunchy snack, often skin and all",,,,,,,,,,,
foods,foods/apple,10,is stewed with sugar until soft and served warm,,,,,,,,,,,
foods,foods/apple,11,is packed in lunchboxes as an easy whole piece of fruit,,,,,,,,,,,
foods,foods/banana,0,grows in large hanging bunches on tall tropical plants,yes,,,,,,,,,,
foods,foods/banana,1,"has a mild, sweet, slightly starchy taste",,,,,,,,,,,
foods,foods/banana,2,gets brown speckles on its skin as it becomes very ripe,yes,,,,,,,,,,
foods,foods/banana,3,"has soft, pale, creamy flesh that is easy to mash",,,,,,,,,,,
foods,foods/banana,4,is peeled by hand and needs no cutting before eating,,,,,,,,,,,
foods,foods/banana,5,is often added to cakes and muffins to keep them moist,,,,,,,,,,,
foods,foods/banana,6,is picked while still green and shipped to ripen later,,,,,,,,,,,
foods,foods/banana,7,is blended into smoothies to make them thick and sweet,,,,,,,,,,,
foods,foods/banana,8,is sliced over breakfast cereal or porridge,,,,,,,,,,,
foods,foods/banana,9,has tiny dark specks of seed running through its centre,,"""has tiny dark specks of seed running through its centre"" - in seedless dessert bananas the specks are undeveloped vestigial seeds; a reader may not think of them as seeds",,,,,,,,,
foods,foods/banana,10,is served with ice cream or custard as a simple dessert,,,,,,,,,,,
foods,foods/banana,11,is best kept at room temperature rather than in the fridge,,,,,,,,,,,
foods,foods/butter,0,is made from cream and sold in the chilled aisle,,,,,,,,,,,
foods,foods/butter,1,is pale yellow and firm when it comes out of the fridge,,,,,,,,,,,
foods,foods/butter,2,softens at room temperature and melts quickly in a warm pan,,,,,,,,,,,
foods,foods/butter,3,is spread thinly on warm toast or fresh bread,,,,,,,,,,,
foods,foods/butter,4,comes salted or unsalted in wrapped rectangular blocks,yes,,,,,,,,,,
foods,foods/butter,5,is weighed out for cakes and biscuits in most home baking,,,,,,,,,,,
foods,foods/butter,6,is melted and brushed over dough before baking,,,,,,,,,,,
foods,foods/butter,7,is about four-fifths milk fat by weight,yes,"""is about four-fifths milk fat by weight"" - 80% is the legal minimum in the US and EU; European-style butters run to about 82-86%",,,,,,,,,
foods,foods/butter,8,can scorch and turn bitter if heated too long,,,,,,,,,,,
foods,foods/butter,9,is rubbed into flour to make pastry and crumble toppings,,,,,,,,,,,
foods,foods/butter,10,is stirred into hot mashed potatoes to make them rich,,,,,,,,,,,
foods,foods/butter,11,is mixed with garlic and herbs as a topping for grilled meat,,,,,,,,,,,
foods,foods/cheese,0,is made from milk and often bought at a deli counter,,,,,,,,,,,
foods,foods/cheese,1,"is often aged for weeks, months or years in cool cellars",,,,,,,,,,,
foods,foods/cheese,2,has a firm outer rind that is often cut away,,,,,,,,,,,
foods,foods/cheese,3,softens and turns gooey when heated in the oven,,,,,,,,,,,
foods,foods/cheese,4,is grated over hot dishes or sliced thinly for sandwiches,yes,,,,,,,,,,
foods,foods/cheese,5,can be made from the milk of goats or water buffalo as well,,,,,,,,,,,
foods,foods/cheese,6,comes in many regional styles with protected local names,,,,,,,,,,,
foods,foods/cheese,7,can have a strong smell that some people find off-putting,,,,,,,,,,,
foods,foods/cheese,8,"is eaten with crackers, bread or slices of fruit",,,,,,,,,,,
foods,foods/cheese,9,is wrapped tightly and kept in the fridge after opening,,,,,,,,,,,
foods,foods/cheese,10,is made with the help of friendly bacteria,,,,,,,,,,,
foods,foods/cheese,11,is salted in brine or rubbed with salt to preserve it,,,,,,,,,,,
foods,foods/egg,0,is sold in free-range and organic versions at higher prices,,,,,,,,,,,
foods,foods/egg,1,is a cheap and versatile source of protein,,,,,,,,,,,
foods,foods/egg,2,is one of the most common allergens in young children,,,,,,,,,,,
foods,foods/egg,3,is boiled for a few minutes to be eaten soft or hard,yes,,,,,,,,,,
foods,foods/egg,4,cooks in a hot pan in just a minute or two,,,,,,,,,,,
foods,foods/egg,5,is often served on hot toast at breakfast,,,,,,,,,,,
foods,foods/egg,6,is poached in a pan of gently simmering water,,,,,,,,,,,
foods,foods/egg,7,is mixed into batters for cakes and pancakes,,,,,,,,,,,
foods,foods/egg,8,"is stored in a carton, often in the fridge door",,,,,,,,,,,
foods,foods/egg,9,changes from runny to firm as it cooks,,,,,,,,,,,
foods,foods/egg,10,sinks in a glass of water when fresh and floats when stale,yes,"""sinks in a glass of water when fresh and floats when stale"" - the standard kitchen test; ageing eggs usually tilt or stand on end before they actually float",,,,,,,,,
foods,foods/egg,11,"is smooth and roughly oval, fitting easily in the palm",,,,,,,,,,,
foods,foods/grape,0,grows on climbing vines trained along wires in long rows,,,,,,,,,,,
foods,foods/grape,1,"is small, round and juicy with a smooth thin skin",,,,,,,,,,,
