C_self,R_self,CR,SR
365.25,22.4455,0.0615,0.0726
304.375,255.675,0.84,1.0
140.4808,146.1,1.04,1.2667
417.4286,252.8654,0.6058,0.6923
456.5625,284.0833,0.6222,0.5556
332.0455,280.9615,0.8462,1.0769
10.849,8.6195,0.7945,0.9617
273.9375,25.4288,0.0928,0.2152
417.4286,280.9615,0.6731,0.7692
243.5,10.5487,0.0433,0.0866
547.875,328.725,0.6,0.7
273.9375,255.675,0.9333,1.0
426.125,243.5,0.5714,0.6667
328.725,62.477,0.1901,0.3816
273.9375,25.3646,0.0926,0.0556
502.2188,334.8125,0.6667,1.0
410.9062,214.8529,0.5229,0.8235
313.0714,13.1791,0.0421,0.0412
438.3,328.725,0.75,1.2
228.2812,166.0227,0.7273,0.9091
263.7917,46.8269,0.1775,0.3846
438.3,146.1,0.3333,0.4
152.1875,11.2819,0.0741,0.1158
199.2273,213.0625,1.0694,1.5833
265.6364,23.359,0.0879,0.1802
365.25,202.9167,0.5556,0.5556
284.0833,273.9375,0.9643,1.1667
365.25,252.8654,0.6923,0.7692
487.0,228.2812,0.4688,0.5
304.375,219.15,0.72,0.7
398.4545,292.2,0.7333,1.2667
487.0,162.3333,0.3333,0.4444
365.25,232.4318,0.6364,0.9091
456.5625,243.5,0.5333,0.6667
365.25,219.15,0.6,0.6
365.25,273.9375,0.75,1.3333
304.375,152.1875,0.5,0.6667
280.9615,28.5352,0.1016,0.2188
426.125,292.2,0.6857,0.8
292.2,273.9375,0.9375,0.75
284.0833,332.0455,1.1688,2.0
304.375,14.9518,0.0491,0.0585
292.2,17.1748,0.0588,0.1442
365.25,298.8409,0.8182,1.3636
219.15,166.0227,0.7576,0.5455
456.5625,228.2812,0.5,0.75
252.8654,17.3929,0.0688,0.1389
365.25,265.6364,0.7273,1.0909
417.4286,260.8929,0.625,0.7857
10.1812,10.8705,1.0677,1.4881
365.25,273.9375,0.75,0.75
365.25,401.775,1.1,1.9
11.4652,9.0464,0.789,1.0929
608.75,456.5625,0.75,1.25
438.3,284.0833,0.6481,0.7778
730.5,83.4857,0.1143,0.2571
417.4286,304.375,0.7292,0.8333
474.825,393.3462,0.8284,1.3846
8.7861,10.8705,1.2372,1.2054
232.4318,234.8036,1.0102,2.1429
273.9375,228.2812,0.8333,0.75
304.375,202.9167,0.6667,0.7778
365.25,273.9375,0.75,1.4167
284.0833,243.5,0.8571,1.25
319.5938,405.8333,1.2698,1.5556
13.8352,15.3099,1.1066,1.9581
296.7656,33.7154,0.1136,0.2462
273.9375,6.1387,0.0224,0.0168
365.25,319.5938,0.875,1.0
319.5938,252.8654,0.7912,0.9231
365.25,284.0833,0.7778,1.0
208.7143,255.675,1.225,0.8
456.5625,14.8074,0.0324,0.0405
438.3,199.2273,0.4545,0.6364
328.725,219.15,0.6667,0.8
469.6071,332.0455,0.7071,0.9091
456.5625,365.25,0.8,0.9167
365.25,89.9891,0.2464,0.4928
12.8158,5.5341,0.4318,0.3455
456.5625,334.8125,0.7333,0.9167
182.625,4.759,0.0261,0.013
521.7857,332.0455,0.6364,1.0
426.125,255.675,0.6,0.8
391.3393,35.3468,0.0903,0.1161
365.25,202.9167,0.5556,0.4444
365.25,173.0132,0.4737,0.6842
202.9167,182.625,0.9,1.0
332.0455,81.1667,0.2444,0.5556
304.375,214.8529,0.7059,1.0588
18.993,17.3378,0.9129,1.8006
309.0577,77.1655,0.2497,0.5352
573.9643,365.25,0.6364,1.1538
292.2,228.2812,0.7812,0.875
260.8929,20.4813,0.0785,0.1121
15.2188,5.5341,0.3636,0.4545
166.0227,13.1031,0.0789,0.13
365.25,228.2812,0.625,1.0
456.5625,255.675,0.56,0.6
456.5625,334.8125,0.7333,0.9167
469.6071,332.0455,0.7071,1.0
487.0,324.6667,0.6667,1.1111
255.675,18.1716,0.0711,0.1542
410.9062,133.925,0.3259,0.3667
208.7143,5.6409,0.027,0.027
243.5,83.0114,0.3409,0.5455
487.0,464.8636,0.9545,1.3636
365.25,280.9615,0.7692,0.6923
182.625,13.5907,0.0744,0.1209
243.5,228.2812,0.9375,0.875
182.625,12.2921,0.0673,0.1106
456.5625,334.8125,0.7333,1.0833
280.9615,50.3793,0.1793,0.5172
547.875,365.25,0.6667,1.4
852.25,255.675,0.3,0.8
365.25,182.625,0.5,0.8
405.8333,304.375,0.75,1.0
6.5692,7.4324,1.1314,1.0814
182.625,75.1985,0.4118,0.5
319.5938,196.6731,0.6154,0.8462
547.875,219.15,0.4,0.8
136.9688,162.3333,1.1852,1.1111
527.5833,393.3462,0.7456,1.2308
547.875,46.2993,0.0845,0.1268
398.4545,365.25,0.9167,1.5385
319.5938,324.6667,1.0159,1.8889
547.875,547.875,1.0,1.0
243.5,32.5701,0.1338,0.293
243.5,48.7,0.2,0.3667
252.8654,21.9549,0.0868,0.2022
469.6071,298.8409,0.6364,0.8182
405.8333,365.25,0.9,1.1667
426.125,324.6667,0.7619,1.0
365.25,365.25,1.0,1.25
304.375,243.5,0.8,0.8889
365.25,91.3125,0.25,0.625
487.0,365.25,0.75,1.0833
284.0833,17.5601,0.0618,0.1442
319.5938,265.6364,0.8312,1.2727
584.4,243.5,0.4167,0.6667
511.35,243.5,0.4762,0.9167
410.9062,13.6969,0.0333,0.0458
365.25,21.0721,0.0577,0.0577
410.9062,332.0455,0.8081,0.9091
547.875,319.5938,0.5833,0.75
417.4286,365.25,0.875,1.1
426.125,324.6667,0.7619,1.2222
487.0,146.1,0.3,0.4
298.8409,337.1538,1.1282,1.3846
410.9062,202.9167,0.4938,0.7778
332.0455,280.9615,0.8462,1.1538
417.4286,298.8409,0.7159,0.9091
292.2,182.625,0.625,0.4167
260.8929,182.625,0.7,0.75
446.4167,365.25,0.8182,1.1667
267.85,16.462,0.0615,0.1268
730.5,304.375,0.4167,0.6667
365.25,280.9615,0.7692,1.2308
228.2812,284.0833,1.2444,1.5556
273.9375,182.625,0.6667,0.875
438.3,273.9375,0.625,0.75
219.15,38.4474,0.1754,0.4079
438.3,319.5938,0.7292,1.125
182.625,14.61,0.08,0.12
608.75,202.9167,0.3333,0.5556
273.9375,182.625,0.6667,0.7
292.2,146.1,0.5,0.5
9.5117,8.1167,0.8533,0.9937
365.25,273.9375,0.75,0.875
324.6667,252.8654,0.7788,0.9231
202.9167,9.3654,0.0462,0.1026
313.0714,8.6964,0.0278,0.034
438.3,232.4318,0.5303,0.5455
426.125,365.25,0.8571,1.25
511.35,213.0625,0.4167,0.8333
456.5625,219.15,0.48,0.5
76.4477,18.2625,0.2389,0.23
438.3,232.4318,0.5303,0.6364
12.2567,6.6409,0.5418,0.7212
243.5,228.2812,0.9375,1.4375
298.8409,37.5491,0.1256,0.2897
365.25,47.129,0.129,0.0645
401.775,16.2006,0.0403,0.0645
657.45,328.725,0.5,0.9
182.625,182.625,1.0,0.875
319.5938,81.1667,0.254,0.5333
313.0714,284.0833,0.9074,1.5556
487.0,332.0455,0.6818,0.9091
608.75,365.25,0.6,0.625
365.25,243.5,0.6667,0.75
146.1,9.0026,0.0616,0.088
365.25,11.6414,0.0319,0.0359
730.5,182.625,0.25,0.25
228.2812,22.9878,0.1007,0.1608
365.25,146.1,0.4,0.3333
438.3,284.0833,0.6481,0.8889
228.2812,12.175,0.0533,0.0815
132.8182,8.6964,0.0655,0.0918
365.25,213.0625,0.5833,0.5833
365.25,41.5057,0.1136,0.0909
365.25,365.25,1.0,1.7778
19.2237,6.2974,0.3276,0.4598
40.5833,41.3491,1.0189,0.8868
273.9375,292.2,1.0667,1.3
527.5833,393.3462,0.7456,1.3077
182.625,43.6119,0.2388,0.3284
243.5,232.4318,0.9545,1.0909
365.25,24.35,0.0667,0.08
456.5625,328.725,0.72,0.6
426.125,213.0625,0.5,0.5833
365.25,284.0833,0.7778,0.6667
365.25,243.5,0.6667,0.6667
365.25,199.2273,0.5455,0.4545
365.25,202.9167,0.5556,0.5556
292.2,15.7435,0.0539,0.0776
5.8347,8.4942,1.4558,1.2471
417.4286,410.9062,0.9844,1.25
417.4286,252.8654,0.6058,0.6154
410.9062,228.2812,0.5556,0.8125
292.2,252.8654,0.8654,1.1538
273.9375,298.8409,1.0909,1.2727
219.15,243.5,1.1111,0.6667
410.9062,332.0455,0.8081,1.0
196.6731,22.0621,0.1122,0.255
426.125,232.4318,0.5455,0.8182
584.4,298.8409,0.5114,0.9091
324.6667,17.7777,0.0548,0.1416
487.0,279.3088,0.5735,0.8824
292.2,298.8409,1.0227,1.1818
243.5,146.1,0.6,0.7
328.725,219.15,0.6667,1.1333
365.25,284.0833,0.7778,0.7778
304.375,243.5,0.8,0.7778
408.2206,53.1693,0.1302,0.3418
365.25,273.9375,0.75,1.0
230.6842,138.2027,0.5991,1.6486
365.25,319.5938,0.875,1.125
136.9688,60.875,0.4444,0.6667
319.5938,48.7,0.1524,0.12
292.2,140.4808,0.4808,0.4615
284.0833,255.675,0.9,1.8
365.25,24.7162,0.0677,0.0526
511.35,252.8654,0.4945,0.6154
182.625,13.0446,0.0714,0.125
309.0577,33.2045,0.1074,0.2338
365.25,328.725,0.9,1.2
328.725,18.974,0.0577,0.1558
474.825,300.7941,0.6335,0.8235
284.0833,213.0625,0.75,1.0833
365.25,168.5769,0.4615,0.4615
456.5625,219.15,0.48,0.7
365.25,20.4813,0.0561,0.0935
365.25,255.675,0.7,0.6
319.5938,284.0833,0.8889,2.2222
410.9062,273.9375,0.6667,1.0
313.0714,265.6364,0.8485,0.7273
438.3,243.5,0.5556,0.8333
431.6591,393.3462,0.9112,1.5385
365.25,405.8333,1.1111,1.8889
324.6667,280.9615,0.8654,0.8462
405.8333,25.6662,0.0632,0.0973
405.8333,337.1538,0.8308,1.0769
410.9062,18.7745,0.0457,0.1262
319.5938,265.6364,0.8312,1.8182
260.8929,319.5938,1.225,1.375
313.0714,232.4318,0.7424,1.0
456.5625,24.1203,0.0528,0.0472
426.125,365.25,0.8571,1.0
99.6136,94.6944,0.9506,0.8889
365.25,243.5,0.6667,0.9167
365.25,228.2812,0.625,0.375
421.4423,288.3553,0.6842,0.9474
456.5625,182.625,0.4,0.5
273.9375,251.1094,0.9167,1.0
260.8929,13.6118,0.0522,0.0559
573.9643,334.8125,0.5833,1.0
313.0714,324.6667,1.037,1.1111
213.0625,16.5271,0.0776,0.1538
469.6071,19.6371,0.0418,0.0591
332.0455,48.7,0.1467,0.2222
365.25,199.2273,0.5455,0.9091
365.25,121.75,0.3333,0.4167
469.6071,365.25,0.7778,1.0
324.6667,48.7,0.15,0.1833
5.8675,5.3399,0.9101,0.9094
292.2,14.4653,0.0495,0.0792
438.3,17.6734,0.0403,0.0565
319.5938,21.4853,0.0672,0.1176
319.5938,224.7692,0.7033,1.2308
426.125,243.5,0.5714,0.5833
365.25,292.2,0.8,0.6
405.8333,280.9615,0.6923,1.1538
365.25,273.9375,0.75,1.25
365.25,273.9375,0.75,0.625
304.375,236.3382,0.7765,1.1176
426.125,322.2794,0.7563,1.0588
19.0565,6.5418,0.3433,0.4746
438.3,219.15,0.5,0.6
313.0714,219.15,0.7,1.0
292.2,243.5,0.8333,0.6667
365.25,182.625,0.5,0.3333
365.25,228.2812,0.625,0.75
252.8654,15.4529,0.0611,0.0923
456.5625,426.125,0.9333,0.8333
365.25,213.0625,0.5833,0.4167
328.725,260.8929,0.7937,1.1429
426.125,298.8409,0.7013,0.8182
547.875,243.5,0.4444,0.6667
255.675,14.61,0.0571,0.09
426.125,292.2,0.6857,0.7
9.3355,9.556,1.0236,1.6337
365.25,162.3333,0.4444,0.4444
273.9375,30.4375,0.1111,0.2738
328.725,280.9615,0.8547,1.4615
304.375,52.8072,0.1735,0.4217
121.75,9.0558,0.0744,0.0496
438.3,18.037,0.0412,0.0432
243.5,243.5,1.0,1.0
313.0714,284.0833,0.9074,0.8889
328.725,304.375,0.9259,1.4167
365.25,194.8,0.5333,0.6
365.25,132.8182,0.3636,0.4545
136.9688,8.1468,0.0595,0.0818
304.375,284.0833,0.9333,1.2222
166.0227,11.7823,0.071,0.1014
469.6071,438.3,0.9333,1.2
273.9375,28.8355,0.1053,0.1053
438.3,182.625,0.4167,0.5833
365.25,213.0625,0.5833,0.8333
365.25,121.75,0.3333,0.4167
304.375,243.5,0.8,0.6667
243.5,16.114,0.0662,0.0515
313.0714,182.625,0.5833,0.6667
273.9375,255.675,0.9333,1.0
255.675,36.1634,0.1414,0.2178
273.9375,222.3261,0.8116,1.5217
365.25,182.625,0.5,0.75
146.1,8.8012,0.0602,0.0422
182.625,12.434,0.0681,0.1234
456.5625,319.5938,0.7,0.875
284.0833,332.0455,1.1688,1.4545
219.15,14.2835,0.0652,0.1006
284.0833,243.5,0.8571,0.8333
15.3349,14.1317,0.9215,1.622
273.9375,12.499,0.0456,0.038
243.5,260.8929,1.0714,0.8571
474.825,339.1607,0.7143,1.0714
313.0714,304.375,0.9722,0.8333
319.5938,273.9375,0.8571,0.9167
438.3,199.2273,0.4545,0.6364
10.1863,9.5283,0.9354,0.9942
469.6071,17.4761,0.0372,0.0526
438.3,34.7857,0.0794,0.0952
255.675,219.15,0.8571,1.2
99.6136,73.05,0.7333,0.6
474.825,365.25,0.7692,1.1538
328.725,280.9615,0.8547,1.2308
365.25,304.375,0.8333,1.4167
365.25,243.5,0.6667,0.5556
547.875,243.5,0.4444,0.6667
304.375,232.4318,0.7636,0.7273
547.875,257.8235,0.4706,0.7647
324.6667,298.8409,0.9205,1.3636
273.9375,182.625,0.6667,0.75
156.5357,7.4162,0.0474,0.0406
304.375,292.2,0.96,0.7
365.25,22.8281,0.0625,0.0875
365.25,219.15,0.6,0.6
438.3,219.15,0.5,0.8
365.25,252.8654,0.6923,0.8462
12.175,6.0875,0.5,0.5
456.5625,8.6552,0.019,0.0379
304.375,219.15,0.72,0.7
228.2812,365.25,1.6,1.3333
469.6071,252.8654,0.5385,1.0
156.5357,219.15,1.4,1.0
12.9605,12.0292,0.9281,1.4311
319.5938,153.7895,0.4812,0.6842
9.4258,11.8169,1.2537,1.5912
405.8333,365.25,0.9,1.4167
255.675,224.7692,0.8791,1.1538
547.875,219.15,0.4,0.8
213.0625,21.7411,0.102,0.1369
284.0833,14.2121,0.05,0.1284
365.25,182.625,0.5,0.625
365.25,365.25,1.0,1.375
208.7143,20.8054,0.0997,0.1582
13.255,13.0446,0.9841,1.4583
469.6071,273.9375,0.5833,0.9167
438.3,255.675,0.5833,0.8
202.9167,11.878,0.0585,0.0935
426.125,265.6364,0.6234,0.8182
313.0714,196.6731,0.6282,0.6923
324.6667,243.5,0.75,1.1667
265.6364,30.9534,0.1165,0.2288
292.2,243.5,0.8333,0.7778
365.25,182.625,0.5,0.5833
365.25,280.9615,0.7692,0.6923
260.8929,243.5,0.9333,1.5556
401.775,309.0577,0.7692,1.3846
401.775,337.1538,0.8392,1.4615
136.9688,46.8269,0.3419,0.5128
243.5,182.625,0.75,0.5
365.25,319.5938,0.875,1.625
33.2045,47.6413,1.4348,0.9855
365.25,202.9167,0.5556,0.6667
417.4286,273.9375,0.6563,0.9167
456.5625,30.0205,0.0658,0.0822
23.5645,7.6321,0.3239,0.2806
365.25,219.15,0.6,0.8
202.9167,121.75,0.6,0.8333
324.6667,243.5,0.75,1.1667
313.0714,196.6731,0.6282,0.6154
365.25,38.4474,0.1053,0.0789
14.4813,11.4141,0.7882,1.4281
365.25,4.6677,0.0128,0.0064
456.5625,66.4091,0.1455,0.2182
584.4,280.9615,0.4808,0.6923
410.9062,401.775,0.9778,1.7
438.3,82.6981,0.1887,0.2642
171.8824,96.9031,0.5638,1.0204
260.8929,273.9375,1.05,1.0
365.25,13.2018,0.0361,0.0442
469.6071,304.375,0.6481,1.0
319.5938,224.7692,0.7033,0.8462
365.25,292.2,0.8,1.2
401.775,398.4545,0.9917,1.8182
243.5,243.5,1.0,1.4167
365.25,243.5,0.6667,0.75
219.15,182.625,0.8333,0.625
309.0577,22.9476,0.0743,0.1414
304.375,319.5938,1.05,1.125
365.25,280.9615,0.7692,1.0
365.25,255.675,0.7,0.6
547.875,273.9375,0.5,0.75
284.0833,42.8224,0.1507,0.3931
66.4091,10.3049,0.1552,0.1442
487.0,324.6667,0.6667,1.0
74.2881,67.4308,0.9077,1.4769
304.375,152.1875,0.5,0.5
401.775,337.1538,0.8392,1.2308
365.25,146.1,0.4,0.5
401.775,257.8235,0.6417,0.7647
469.6071,52.1786,0.1111,0.1429
405.8333,334.8125,0.825,1.3333
313.0714,365.25,1.1667,1.4444
438.3,273.9375,0.625,0.875
365.25,298.8409,0.8182,1.1818
417.4286,292.2,0.7,0.9
202.9167,224.7692,1.1077,0.9231
365.25,273.9375,0.75,0.75
292.2,24.955,0.0854,0.1988
365.25,219.15,0.6,0.6
255.675,136.9688,0.5357,1.2083
182.625,33.2045,0.1818,0.2626
280.9615,15.5979,0.0555,0.1601
273.9375,196.6731,0.7179,0.7692
199.2273,70.2404,0.3526,0.6346
365.25,23.5645,0.0645,0.0645
273.9375,62.9741,0.2299,0.4828
365.25,292.2,0.8,0.9
166.0227,7.3682,0.0444,0.0778
162.3333,18.4677,0.1138,0.1011
304.375,152.1875,0.5,0.5833
182.625,4.9863,0.0273,0.0341
313.0714,284.0833,0.9074,1.1111
106.5312,88.5455,0.8312,0.7879
365.25,328.725,0.9,0.9
438.3,10.193,0.0233,0.0326
502.2188,86.3318,0.1719,0.4727
304.375,337.1538,1.1077,2.2308
13.5907,10.5699,0.7777,1.5305
431.6591,365.25,0.8462,1.4
365.25,243.5,0.6667,0.7778
511.35,12.6572,0.0248,0.0446
313.0714,365.25,1.1667,1.5
365.25,33.2045,0.0909,0.0909
410.9062,252.8654,0.6154,0.9231
456.5625,438.3,0.96,1.5
319.5938,208.7143,0.6531,1.1429
365.25,12.0744,0.0331,0.0372
365.25,243.5,0.6667,0.8333
304.375,50.8576,0.1671,0.4051
426.125,243.5,0.5714,0.6667
502.2188,38.113,0.0759,0.113
511.35,265.6364,0.5195,0.7273
426.125,49.0634,0.1151,0.1045
219.15,39.6054,0.1807,0.2048
365.25,280.9615,0.7692,0.8462
280.9615,251.1094,0.8938,1.25
365.25,228.2812,0.625,1.0
639.1875,284.0833,0.4444,0.7778
121.75,78.2679,0.6429,0.8214
304.375,31.9594,0.105,0.2562
438.3,339.1607,0.7738,1.2857
12.3514,7.7477,0.6273,0.8818
243.5,243.5,1.0,1.0833
405.8333,337.1538,0.8308,0.9231
365.25,284.0833,0.7778,0.8889
365.25,273.9375,0.75,1.125
365.25,324.6667,0.8889,1.3333
365.25,243.5,0.6667,0.8889
417.4286,243.5,0.5833,0.8333
136.9688,162.3333,1.1852,1.3333
304.375,182.625,0.6,0.7
511.35,365.25,0.7143,0.7778
365.25,309.0577,0.8462,1.0769
487.0,146.1,0.3,0.4
426.125,243.5,0.5714,0.6667
292.2,219.15,0.75,0.6
365.25,199.2273,0.5455,0.5455
284.0833,232.4318,0.8182,1.3636
365.25,328.725,0.9,1.0
313.0714,9.4563,0.0302,0.0324
121.75,7.2327,0.0594,0.0347
410.9062,21.4853,0.0523,0.0529
365.25,252.8654,0.6923,0.8462
228.2812,19.0565,0.0835,0.087
365.25,328.725,0.9,0.9
438.3,26.0893,0.0595,0.0833
417.4286,328.725,0.7875,0.9
487.0,328.725,0.675,1.1
319.5938,14.9693,0.0468,0.0656
313.0714,273.9375,0.875,0.75
456.5625,202.9167,0.4444,0.5556
365.25,51.3633,0.1406,0.2031
121.75,10.7426,0.0882,0.0824
417.4286,265.6364,0.6364,0.7273
9.0558,11.9363,1.3181,1.7647
365.25,319.5938,0.875,1.5
280.9615,273.9375,0.975,1.1875
487.0,199.2273,0.4091,0.4545
405.8333,14.157,0.0349,0.0581
446.4167,309.0577,0.6923,0.9231
365.25,11.2632,0.0308,0.0352
313.0714,196.6731,0.6282,0.5385
365.25,228.2812,0.625,1.0
14.4449,11.0015,0.7616,0.7048
292.2,182.625,0.625,0.8
255.675,20.2917,0.0794,0.1049
292.2,166.0227,0.5682,0.6364
521.7857,337.1538,0.6462,1.0
304.375,309.0577,1.0154,1.3846
324.6667,328.725,1.0125,1.3
292.2,30.6933,0.105,0.3025
365.25,224.7692,0.6154,0.5385
91.3125,94.6944,1.037,0.963
114.7929,104.3571,0.9091,0.881
584.4,298.8409,0.5114,0.7273
292.2,48.4066,0.1657,0.4458
228.2812,15.2188,0.0667,0.125
33.2045,37.1441,1.1186,1.0
456.5625,199.2273,0.4364,0.4545
487.0,13.64,0.028,0.0373
365.25,273.9375,0.75,0.75
547.875,273.9375,0.5,0.875
70.2404,73.05,1.04,1.7818
219.15,9.6542,0.0441,0.0396
21.1302,8.4942,0.402,0.718
438.3,243.5,0.5556,1.0
365.25,324.6667,0.8889,1.0
365.25,273.9375,0.75,0.875
328.725,304.375,0.9259,1.75
9.164,7.7011,0.8404,1.0271
417.4286,328.725,0.7875,0.9
328.725,334.8125,1.0185,1.75
232.4318,224.7692,0.967,1.2308
365.25,5.5849,0.0153,0.0092
292.2,219.15,0.75,0.5
32.709,19.7432,0.6036,0.8649
365.25,182.625,0.5,0.375
365.25,182.625,0.5,0.5833
365.25,410.9062,1.125,1.0
456.5625,365.25,0.8,1.1765
324.6667,252.8654,0.7788,0.7692
365.25,365.25,1.0,1.8182
243.5,28.0962,0.1154,0.2
292.2,7.7989,0.0267,0.0249
292.2,243.5,0.8333,1.3333
456.5625,199.2273,0.4364,0.4545
410.9062,228.2812,0.5556,0.6875
252.8654,45.2214,0.1788,0.4286
365.25,140.4808,0.3846,0.3846
438.3,273.9375,0.625,1.25
365.25,273.9375,0.75,1.0
152.1875,20.8714,0.1371,0.2214
16.8318,13.6542,0.8112,1.0405
456.5625,319.5938,0.7,0.625
298.8409,22.9717,0.0769,0.1447
265.6364,224.7692,0.8462,1.3846
502.2188,401.775,0.8,1.4
230.6842,260.8929,1.131,2.619
304.375,236.3382,0.7765,1.0588
243.5,182.625,0.75,0.7
219.15,168.5769,0.7692,1.0769
365.25,292.2,0.8,1.3
11.9103,4.1506,0.3485,0.2614
304.375,243.5,0.8,1.0
7.9116,7.4541,0.9422,1.4315
469.6071,309.0577,0.6581,1.0
42.4709,16.4034,0.3862,0.3982
431.6591,284.0833,0.6581,0.7778
413.95,87.66,0.2118,0.2267
487.0,328.725,0.675,0.9
313.0714,171.8824,0.549,0.5294
365.25,365.25,1.0,1.5
417.4286,292.2,0.7,1.1
292.2,166.0227,0.5682,0.4545
405.8333,16.729,0.0412,0.0534
292.2,106.0403,0.3629,0.5484
30.9534,14.61,0.472,0.6033
365.25,15.0619,0.0412,0.0309
292.2,16.534,0.0566,0.1235
298.8409,17.0968,0.0572,0.1447
213.0625,31.3887,0.1473,0.2891
58.7009,53.8893,0.918,1.0
243.5,58.44,0.24,0.4933
365.25,365.25,1.0,1.7778
426.125,324.6667,0.7619,1.0
313.0714,196.6731,0.6282,0.6923
365.25,97.4,0.2667,0.2
182.625,224.7692,1.2308,1.4615
280.9615,20.6745,0.0736,0.1887
502.2188,334.8125,0.6667,0.9167
313.0714,232.4318,0.7424,1.2727
284.0833,208.7143,0.7347,0.9286
228.2812,199.2273,0.8727,0.9091
426.125,255.675,0.6,0.7
182.625,162.3333,0.8889,0.4444
319.5938,252.8654,0.7912,0.7692
365.25,196.6731,0.5385,0.6154
487.0,298.8409,0.6136,0.8182
328.725,332.0455,1.0101,1.9091
511.35,26.7723,0.0524,0.0995
243.5,12.4872,0.0513,0.0513
365.25,365.25,1.0,1.6667
456.5625,313.0714,0.6857,0.7143
313.0714,12.6676,0.0405,0.052
417.4286,265.6364,0.6364,1.0909
298.8409,24.2155,0.081,0.1768
208.7143,182.625,0.875,1.0
365.25,219.15,0.6,0.7
365.25,280.9615,0.7692,1.2308
365.25,182.625,0.5,0.4
487.0,365.25,0.75,0.8
438.3,324.6667,0.7407,0.8889
313.0714,265.6364,0.8485,0.8182
547.875,219.15,0.4,0.7
243.5,17.3104,0.0711,0.1137
304.375,273.9375,0.9,0.8125
228.2812,12.7413,0.0558,0.0756
487.0,10.903,0.0224,0.0336
438.3,395.6875,0.9028,1.4167
273.9375,280.9615,1.0256,1.7692
313.0714,213.0625,0.6806,0.8333
365.25,182.625,0.5,0.6667
547.875,10.0068,0.0183,0.0274
511.35,196.6731,0.3846,0.5385
365.25,146.1,0.4,0.3
426.125,21.6444,0.0508,0.0593
438.3,365.25,0.8333,0.6667
365.25,255.675,0.7,0.8
273.9375,232.4318,0.8485,0.9091
573.9643,20.7101,0.0361,0.067
469.6071,438.3,0.9333,1.3
438.3,243.5,0.5556,0.5833
438.3,319.5938,0.7292,0.875
365.25,182.625,0.5,0.5
365.25,273.9375,0.75,1.3333
417.4286,456.5625,1.0938,1.875
511.35,319.5938,0.625,1.125
260.8929,243.5,0.9333,1.3333
304.375,43.4821,0.1429,0.1667
9.487,9.8185,1.0349,1.8011
182.625,79.4022,0.4348,0.8913
232.4318,20.0687,0.0863,0.1044
365.25,146.1,0.4,0.4
162.3333,31.915,0.1966,0.2621
332.0455,365.25,1.1,1.4615
365.25,219.15,0.6,0.4
292.2,202.9167,0.6944,0.6667
487.0,37.4615,0.0769,0.1197
426.125,196.6731,0.4615,0.5385
395.6875,96.1184,0.2429,0.4737
443.5179,413.95,0.9333,2.0
365.25,25.1897,0.069,0.069
487.0,162.3333,0.3333,0.4444
255.675,18.0168,0.0705,0.1166
292.2,228.2812,0.7812,0.875
14.2473,13.4862,0.9466,1.4369
365.25,54.7875,0.15,0.1667
438.3,263.7917,0.6019,0.9444
219.15,7.0922,0.0324,0.0421
365.25,182.625,0.5,0.5
438.3,142.0417,0.3241,0.3333
260.8929,243.5,0.9333,0.8889
260.8929,213.0625,0.8167,0.6667
243.5,265.6364,1.0909,1.0909
365.25,232.4318,0.6364,0.6364
487.0,130.4464,0.2679,0.2857
252.8654,19.6949,0.0779,0.1324
18.2625,4.87,0.2667,0.3
313.0714,11.1244,0.0355,0.0508
365.25,298.8409,0.8182,1.1818
438.3,232.4318,0.5303,0.6364
410.9062,219.15,0.5333,0.6667
319.5938,170.45,0.5333,0.6
487.0,365.25,0.75,0.8889
10.2598,6.4267,0.6264,0.6188
255.675,15.676,0.0613,0.1202
365.25,159.7969,0.4375,0.4375
365.25,196.6731,0.5385,0.6923
319.5938,18.3459,0.0574,0.1187
417.4286,86.5066,0.2072,0.2105
365.25,232.4318,0.6364,0.8182
255.675,298.8409,1.1688,1.2727
292.2,319.5938,1.0938,1.25
469.6071,332.0455,0.7071,1.2727
319.5938,298.8409,0.9351,1.0
260.8929,273.9375,1.05,1.0
121.75,18.447,0.1515,0.2222
438.3,182.625,0.4167,0.6667
252.8654,92.8602,0.3672,0.7458
182.625,54.1111,0.2963,0.5
365.25,34.7857,0.0952,0.3476
273.9375,34.5507,0.1261,0.1216
365.25,219.15,0.6,0.6
547.875,273.9375,0.5,0.875
365.25,284.0833,0.7778,0.7778
365.25,213.0625,0.5833,0.8333
292.2,166.0227,0.5682,0.5455
365.25,100.7586,0.2759,0.3448
456.5625,286.9821,0.6286,0.8571
365.25,52.1786,0.1429,0.1429
365.25,219.15,0.6,0.8
365.25,273.9375,0.75,1.0
228.2812,25.8584,0.1133,0.1858
365.25,243.5,0.6667,0.6667
243.5,202.9167,0.8333,0.7778
11.9265,9.6118,0.8059,0.9854
280.9615,150.3971,0.5353,1.2941
219.15,12.0412,0.0549,0.1136
365.25,292.2,0.8,1.4
365.25,202.9167,0.5556,0.8889
365.25,162.3333,0.4444,0.6667
319.5938,224.7692,0.7033,1.0769
228.2812,284.0833,1.2444,1.0
398.4545,273.9375,0.6875,0.8125
365.25,39.2742,0.1075,0.1828
91.3125,102.7266,1.125,1.0938
136.9688,10.9356,0.0798,0.1317
426.125,182.625,0.4286,0.5
456.5625,334.8125,0.7333,1.1667
